20190504,黄浦,人民广场,黄陂北路159号,暂无,0套在售二手房
20190504,黄浦,人民广场,黄河路141号,暂无,0套在售二手房
20190504,黄浦,人民广场,黄陂北路3号,暂无,0套在售二手房
20190504,黄浦,人民广场,黄河路333号,暂无,0套在售二手房
20190504,黄浦,人民广场,黄河路355号,暂无,0套在售二手房
20190504,黄浦,人民广场,黄陂北路1-3号,暂无,0套在售二手房
20190504,黄浦,人民广场,黄河路101号,暂无,0套在售二手房
20190504,黄浦,人民广场,武胜路237号,暂无,0套在售二手房
20190504,黄浦,人民广场,武胜路471号,暂无,0套在售二手房
20190504,黄浦,人民广场,西藏中路525号,暂无,0套在售二手房
20190504,黄浦,人民广场,武胜路221号,暂无,0套在售二手房
20190504,黄浦,人民广场,山海关路158号,暂无,0套在售二手房
20190504,黄浦,人民广场,山海关路112号,暂无,0套在售二手房
20190504,黄浦,人民广场,山海关路124-126号,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路158号,暂无,0套在售二手房
20190504,黄浦,人民广场,威海路199号,暂无,0套在售二手房
20190504,黄浦,人民广场,人民大道9号,暂无,0套在售二手房
20190504,黄浦,人民广场,成都北路164号,暂无,0套在售二手房
20190504,黄浦,人民广场,南京西路198号,暂无,0套在售二手房
20190504,黄浦,人民广场,南京西路2888号,暂无,0套在售二手房
20190504,黄浦,人民广场,南京西路19号,暂无,0套在售二手房
20190504,黄浦,人民广场,南苏州路1305号,暂无,0套在售二手房
20190504,黄浦,人民广场,南苏州路372号,暂无,0套在售二手房
20190504,黄浦,人民广场,南京西路226号,暂无,0套在售二手房
20190504,黄浦,人民广场,南苏州路374号,暂无,0套在售二手房
20190504,黄浦,人民广场,大沽路196号,暂无,0套在售二手房
20190504,黄浦,人民广场,大沽路90号,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路455弄3号,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路354号,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路220号,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路457-463号,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路455弄15号,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路358号,暂无,0套在售二手房
20190504,黄浦,人民广场,新桥路668号672号,暂无,0套在售二手房
20190504,黄浦,人民广场,新桥路17号,暂无,0套在售二手房
20190504,黄浦,人民广场,新桥路678号,暂无,0套在售二手房
20190504,黄浦,人民广场,新桥路638号,暂无,0套在售二手房
20190504,黄浦,人民广场,新闸路417-419号,暂无,0套在售二手房
20190504,黄浦,人民广场,新闸路443-445号,暂无,0套在售二手房
20190504,黄浦,人民广场,新闸路399-401号,暂无,0套在售二手房
20190504,黄浦,人民广场,新闸路249号,暂无,0套在售二手房
20190504,黄浦,人民广场,重庆北路188号,暂无,0套在售二手房
20190504,黄浦,人民广场,重庆北路32号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路140号,暂无,0套在售二手房
20190504,黄浦,人民广场,南苏州路847~849号,暂无,0套在售二手房
20190504,黄浦,人民广场,西藏中路725弄7-9号,暂无,0套在售二手房
