20190504,黄浦,新天地,吉安路165号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路326-324号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路67-69号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路481-483号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路456号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路161号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路175号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路418号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路111号,暂无,0套在售二手房
20190504,黄浦,新天地,吉安路125弄,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路535号,暂无,0套在售二手房
20190504,黄浦,新天地,洗帚弄,暂无,0套在售二手房
20190504,黄浦,新天地,黄陂南路707弄,暂无,0套在售二手房
20190504,黄浦,新天地,吉安路288号,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路110号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路180号,暂无,0套在售二手房
20190504,黄浦,新天地,太仓路262号,暂无,0套在售二手房
20190504,黄浦,新天地,金陵中路165号,暂无,0套在售二手房
20190504,黄浦,新天地,淮海中路417号,暂无,0套在售二手房
20190504,黄浦,新天地,黄陂南路721号,暂无,0套在售二手房
20190504,黄浦,新天地,黄陂南路592号,暂无,0套在售二手房
20190504,黄浦,新天地,黄陂南路751弄1号,暂无,0套在售二手房
20190504,黄浦,新天地,黄陂南路797号,暂无,0套在售二手房
20190504,黄浦,新天地,金陵西路38-1号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路178号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路232号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路226号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路307号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路578号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路303号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路322号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路330号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路331号,暂无,0套在售二手房
20190504,黄浦,新天地,西藏南路388号,暂无,0套在售二手房
20190504,黄浦,新天地,太仓路102号,暂无,0套在售二手房
20190504,黄浦,新天地,太仓路68号,暂无,0套在售二手房
20190504,黄浦,新天地,桃源路362号,暂无,0套在售二手房
20190504,黄浦,新天地,太仓路58号,暂无,0套在售二手房
20190504,黄浦,新天地,嵩山路111号,暂无,0套在售二手房
20190504,黄浦,新天地,嵩山路99号,暂无,0套在售二手房
20190504,黄浦,新天地,淡水路456号,暂无,0套在售二手房
20190504,黄浦,新天地,源成里,暂无,0套在售二手房
20190504,黄浦,新天地,济南路287号,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路598弄,暂无,0套在售二手房
20190504,黄浦,新天地,徐家汇路238号,暂无,0套在售二手房
20190504,黄浦,新天地,徐家汇路58-560号,暂无,0套在售二手房
20190504,黄浦,新天地,徐家汇路108号,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路446号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路199号,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路565号,暂无,0套在售二手房
20190504,黄浦,新天地,重庆南路189号,暂无,0套在售二手房
20190504,黄浦,新天地,重庆南路157弄1号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路129号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路190号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路61号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路396号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路386号,暂无,0套在售二手房
20190504,黄浦,新天地,永丰路218号,暂无,0套在售二手房
20190504,黄浦,新天地,永年路162号,暂无,0套在售二手房
20190504,黄浦,新天地,永年路88号,暂无,0套在售二手房
20190504,黄浦,新天地,徐家汇路509号,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路304号,暂无,0套在售二手房
20190504,黄浦,新天地,马当路310号,暂无,0套在售二手房
20190504,黄浦,新天地,上海中海国际中心,暂无,0套在售二手房
20190504,黄浦,新天地,淡水路264号,暂无,0套在售二手房
20190504,黄浦,新天地,济南路257号,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路126弄21号,暂无,0套在售二手房
