20190504,静安,江宁路,19楼单价低，三房加保姆房，两个阳台，可看东方明珠,980万,九龙花苑  | 4室2厅 | 159.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7209fa82-77fd-4853-9099-8e09517a6d88.png.296x216.jpg
20190504,静安,江宁路,户型方正 边套全明 采光无挡 视野开阔,1880万,静安豪景苑  | 4室2厅 | 156.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8545a3e8-d8e5-4f06-bffe-050053167a72.jpg.296x216.jpg
20190504,静安,江宁路,南北通三房，高区视野好，保养如新，一序列教育,1500万,静安枫景苑  | 3室2厅 | 132.84平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3c21c9aa-bd76-4d06-b71e-ce1c66805484.jpg.296x216.jpg
20190504,静安,江宁路,静安寺金质小区 三面采光 满五唯一有车位  看房方便房主自荐,1630万,静安豪景苑  | 3室2厅 | 145.03平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-43355437-90a9-4ae9-bc43-f375931ae358.jpg.296x216.jpg
20190504,静安,江宁路,静安豪景苑 2室2厅 1500万,1500万,静安豪景苑  | 2室2厅 | 116.39平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-54220599-73e0-42c0-b153-39f83a2dcb69.png.296x216.jpg
20190504,静安,江宁路,老静安精装一室户  朝南采光好  低总价  地铁500米房主自荐,345万,向新新村  | 1室1厅 | 37.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3f7860d6-3702-4f98-ad8c-092f3ab0aacb.png.296x216.jpg
20190504,静安,江宁路,地铁口品质小区 小户型 业主诚意出售 附30平米露台房主自荐,838万,君御豪庭  | 1室2厅 | 75.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9e13ab0a-1992-48ea-85d4-8670571fef71.jpg.296x216.jpg
20190504,静安,江宁路,14年次新房  二期刷卡到户   百万装修  正看小区花园,1510万,静安豪景苑  | 2室2厅 | 116.4平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-69f5cc3f-6dc4-435a-969a-5690e485c571.png.296x216.jpg
20190504,静安,江宁路,售后公房，婚房装修，业主诚意出售，采光通风都很好,505万,又一村(静安)  | 2室1厅 | 51.49平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9d7ff1cb-7e13-4f47-baeb-da1dc50adfce.png.296x216.jpg
20190504,静安,江宁路,培兴小区南北 通精装，售后公房无增值税，中间楼层,590万,培兴小区  | 2室1厅 | 75.85平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-83d7b58e-068c-41d7-9d53-6cdd9c600b4f.jpg.296x216.jpg
20190504,静安,江宁路,静教苑    精装修  带地暖 中/央空调,1290万,静安晶华园  | 2室2厅 | 111.25平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a22a84b7-bb7b-4ac6-8e01-f847ae4c61bb.png.296x216.jpg
20190504,静安,江宁路,业主诚意出售海防村，高区两房，看房方便，单价低,690万,海防村  | 2室1厅 | 59.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6fbcb9ac-82a9-4d39-addb-b45860e93dbf.png.296x216.jpg
20190504,静安,江宁路,静安区次新房丨方正南北正气三房丨富贵装修丨采光好,1860万,君御豪庭  | 3室2厅 | 160.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-67d91f3d-cc5d-4687-9f13-1408ef6bbaf4.jpg.296x216.jpg
20190504,静安,江宁路,刚降60万 又降30万 业主诚售 房改售房,628万,又一村(静安)  | 3室1厅 | 79.82平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-08bbcfb7-1a3f-42df-8af1-3cdbf03b1601.jpg.296x216.jpg
20190504,静安,江宁路,一梯两户，两南一北，边套，满五年税费 少,973万,静安河滨花园  | 3室2厅 | 134.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c77b124b-4285-45f1-962a-7f4fb5e63620.png.296x216.jpg
20190504,静安,江宁路,小户型总从价低税少。钥匙房看房方便业主诚意出售,285万,新丰小区  | 1室1厅 | 38.98平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-035c225d-f203-4404-9853-359093979e5d.png.296x216.jpg
20190504,静安,江宁路,总高8楼带电梯+满五得房率高+中区大两房+业主诚意出售,635万,伯龙公寓  | 2室1厅 | 72.35平米 | 西南 | 简装,https://image1.ljcdn.com/310000-inspection/test-cfe174b7-ec5a-4e18-88ee-660bc128f6c3.png.296x216.jpg
