20190504,普陀,光新,管弄经典一室户，采光好，楼层佳，诚意出售,185万,管弄五六街坊  | 1室0厅 | 35.27平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1ccc6428-11bb-4670-9d50-f77b441339fd.png.296x216.jpg
20190504,普陀,光新,售后公房  诚意出售  交通方便  户型正气,566万,大隆花苑  | 3室2厅 | 122.88平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ac458265-2829-456a-bbe1-f5c25f341c86.png.296x216.jpg
20190504,普陀,光新,房屋中楼层，南北通全明户型，诚意卖,300万,光新路129弄  | 2室1厅 | 50.67平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-eb6e3434-4004-415c-acef-a2ef5a05a548.png.296x216.jpg
20190504,普陀,光新,南北通一室一厅，全明户型 诚意出售 税费少 看房方便,225万,太浜巷小区  | 1室1厅 | 39.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-870e6448-9663-42d2-8c17-3edee577c90f.png.296x216.jpg
20190504,普陀,光新,中间楼层 诚意出售 看房有钥匙 厨卫全明,235万,太浜巷小区  | 1室1厅 | 43.65平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-51f6d862-94aa-42dc-b0c0-18dbb51aa4c8.jpg.296x216.jpg
20190504,普陀,光新,石光小区.三房诚意出售.精装修拎包入住.到价签字,460万,石光小区  | 3室1厅 | 81.96平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ba08dd90-bdec-4970-90ed-b21eafe07d89.jpg.296x216.jpg
20190504,普陀,光新,中间楼层通透两房低单价诚意出售看房方便！！,550万,嘉富利大厦  | 2室2厅 | 96.7平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2de058a4-d0e3-445d-be32-2756e90c844b.jpg.296x216.jpg
20190504,普陀,光新,独栋，位置好，电梯全明两房，总价低，诚心出售,349万,石泉路1号  | 2室1厅 | 67.57平米 | 西 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3f6a072d-fe36-48b6-8f3a-6fb176aa1cea.png.296x216.jpg
20190504,普陀,光新,内环边，正气一房，全明户型，房东诚意出售,395万,光新大楼  | 1室2厅 | 64.94平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-10b6ce33-5f9f-464e-80e2-e667ca3d3fc1.jpg.296x216.jpg
20190504,普陀,光新,精装修全明户型,小区中间,随时看房,近地铁7号线,190万,管弄三街坊  | 1室1厅 | 36.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-70cac34a-3f4d-4ef2-834b-6ae51ca1876b.png.296x216.jpg
20190504,普陀,光新,城公大厦 2室2厅 580万,580万,城公大厦  | 2室2厅 | 112.63平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dd4a7f9f-ab36-4584-aa32-087d3a068648.jpg.296x216.jpg
20190504,普陀,光新,电梯房 双南户型 精装修 随时看房,690万,新华源公寓  | 2室2厅 | 110.61平米 | 南 | 简装,https://image1.ljcdn.com/310000-inspection/prod-a4c0630e-684d-4061-8869-29b706c2172e.jpg.296x216.jpg
20190504,普陀,光新,业主诚售 全明两房  卧室都是两窗 售后公房 看房方便,288万,太浜巷小区  | 2室1厅 | 61.12平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-126c7b63-d034-4574-a62b-2c0da8e1ce42.png.296x216.jpg
