20190504,宝山,张庙,钻石3楼  独栋双南精装大两房 看房方便 业主诚心出售,250万,呼玛四村  | 2室1厅 | 55.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-90d69e98-50e9-4945-b4ec-6a718e078870.jpg.296x216.jpg
20190504,宝山,张庙,低楼层，天井已搭，满二唯一，配套齐全,270万,民主花园  | 3室2厅 | 62.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5f6a5e43-363f-4001-9003-a9296a64991f.jpg.296x216.jpg
20190504,宝山,张庙,共和小区 3室1厅 410万,410万,共和小区  | 3室1厅 | 85.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ef58d410-1a87-46d8-8db7-d5155c82b2ff.jpg.296x216.jpg
20190504,宝山,张庙,泗塘一村 2室1厅 195万,195万,泗塘一村  | 2室1厅 | 43.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-25868523-1467-46c1-ab68-43ccf5a04721.png.296x216.jpg
20190504,宝山,张庙,此房满五唯一，全明户型，精装修，房子采光好格局好,495万,呼玛五村  | 2室2厅 | 103.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8531ee45-cc0c-4f55-b6dc-7c2aedd492da.png.296x216.jpg
20190504,宝山,张庙,通河一村 电梯两房 采光无遮挡 满五唯一,295万,通河一村  | 2室1厅 | 70.04平米 | 西南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-63177ddc-99ac-4c36-8e75-1fe8c04e50b9.jpg.296x216.jpg
20190504,宝山,张庙,中间楼层，视野开阔，税费低，2加1户型,450万,美树铭家  | 2室2厅 | 92.51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-08cffdef-08bb-4f36-bc99-3d41f2628302.jpg.296x216.jpg
20190504,宝山,张庙,精装修4年，采光无遮挡，业主诚心卖房,175万,呼玛二村  | 1室1厅 | 42.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0c685b87-4c5a-4b9c-b9af-ccdf0b751fa0.jpg.296x216.jpg
20190504,宝山,张庙,电梯房精装修双南高层，光照充足，近地铁万达广场,419万,惠民公寓  | 2室2厅 | 100.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4ffa50f1-2b53-4a5b-b6c1-7c3c8b452f85.jpg.296x216.jpg
20190504,宝山,张庙,一梯四户，边套全明，中间楼层，近1号线宝山万达,345万,共和小区  | 2室1厅 | 72.65平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49fc9401-9161-4130-ba5a-890b492a6703.png.296x216.jpg
20190504,宝山,张庙,呼玛一村交通方便 精装修 可拎包入住出入方便。,240万,呼玛一村  | 2室1厅 | 55.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-26aeae3f-a53f-4142-89a3-bc719e41167b.png.296x216.jpg
20190504,宝山,张庙,城投世纪名城  带花园 低楼层 诚信出售 商品房户型,450万,城投世纪名城  | 2室2厅 | 91.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5338dcde-6fcb-43bf-942a-459abbec59ef.jpg.296x216.jpg
20190504,宝山,张庙,城投世纪名城 3室2厅 620万,620万,城投世纪名城  | 3室2厅 | 126.53平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bde58bdd-cc09-4728-94be-49c139648571.jpg.296x216.jpg
20190504,宝山,张庙,楼层佳+户型方正+采光很好+欢迎您实地看房！,252万,泗塘四村  | 2室1厅 | 61.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d6ab3ad0-6fd8-48e4-b38c-cb7175848be1.jpg.296x216.jpg
20190504,宝山,张庙,呼玛三村 1室1厅 196万,196万,呼玛三村  | 1室1厅 | 41.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-29678753-94cd-4c69-a017-c1a95d0d6137.jpg.296x216.jpg
20190504,宝山,张庙,共和二村 1室1厅 220万,220万,共和二村  | 1室1厅 | 46.53平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-292b6105-b9af-4ac7-bf4c-552efb1d2543.png.296x216.jpg
