20190504,宝山,大场镇,环镇北路600弄 2室1厅 285万,285万,环镇北路600弄  | 2室1厅 | 72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-259179df-83f2-4363-ba6d-fabfe16a3ecb.jpg.296x216.jpg
20190504,宝山,大场镇,2002年竣工，南北全明户型，2楼无遮挡，适宜居家！,390万,美好家小区  | 2室2厅 | 80.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a4fb9669-18b4-4764-9138-c1509ce87862.jpg.296x216.jpg
20190504,宝山,大场镇,低总价 一室一厅南北通 一手动迁满五唯一房主自荐,240万,骏华苑  | 1室1厅 | 55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2aafbad9-7616-44be-bc5b-beea80e7d42c.jpg.296x216.jpg
20190504,宝山,大场镇,地段成熟，双南户型，视野开阔，诚意出售，交通方便！,238万,环镇北路400弄  | 2室1厅 | 64.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-90c57078-3e41-460f-b080-9cc338d85c7e.png.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 3室2厅 635万,635万,君邑地中海(公寓)  | 3室2厅 | 132.03平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a62c67dc-7b51-4463-90f7-02d574d83777.jpg.296x216.jpg
20190504,宝山,大场镇,婚房精装全明3房，楼层好，税费少，适宜三代同堂居家,328万,环镇北路500弄  | 3室1厅 | 74.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ad807621-fc5e-44c5-8017-23ce9b6f315e.jpg.296x216.jpg
20190504,宝山,大场镇,南大路76弄 1室1厅 169万房主自荐,169万,南大路76弄  | 1室1厅 | 42.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cc81a708-7f3d-4848-a880-8fb0011b3af0.jpg.296x216.jpg
20190504,宝山,大场镇,装修好 配套齐全 户型方正 离地铁近,150万,乾溪新村  | 1室1厅 | 32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e31c695f-662c-4d19-9b84-6b983f963f80.jpg.296x216.jpg
20190504,宝山,大场镇,低总价小户型，全明南北通，采光好业主置换诚意出售,172万,环镇北路400弄  | 1室1厅 | 44.63平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0b1148a5-98da-4a76-b24f-85b423b27d2e.jpg.296x216.jpg
20190504,宝山,大场镇,07年竣工，电梯房，满五年，南北户型，价格实惠！,262万,南大路180弄  | 2室2厅 | 69.83平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0b5bffa1-05ec-4624-a69f-b6c9b751ba0f.png.296x216.jpg
20190504,宝山,大场镇,南大路中间楼层精装一房，诚意出售，,158万,南大路190弄  | 1室1厅 | 45.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5c2804a8-1aad-4014-a724-07cb7f6d6e0c.jpg.296x216.jpg
20190504,宝山,大场镇,满五唯一，交通便利，两卧朝南，业主诚意出售,320万,上大阳光乾龙苑  | 2室1厅 | 80.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-73ee1185-15c1-4668-b5f9-ba176414b776.jpg.296x216.jpg
20190504,宝山,大场镇,电梯房，户型方正  交通便利 出行方便,240万,南大路180弄  | 2室1厅 | 59.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-94bb51b0-6182-485b-a5c8-4103b6611fe6.jpg.296x216.jpg
20190504,宝山,大场镇,美诗邸 2室2厅 460万房主自荐,460万,美诗邸  | 2室2厅 | 83.53平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-12de7bfc-54c1-4902-b992-6fedab0c7155.jpg.296x216.jpg
20190504,宝山,大场镇,两房朝南，七号线地铁口200m，满五唯一税费少，诚售,236万,乾溪新村  | 2室1厅 | 63.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f34c1db5-d3cb-4edc-b07a-dfd117e24323.jpg.296x216.jpg
20190504,宝山,大场镇,好房推荐  看房方便  一室户  诚意出售  看房有钥匙,159万,南大路86弄  | 1室1厅 | 42.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-507c41bc-b2e8-4450-9695-9fc2735c3782.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 4室2厅 730万房主自荐,730万,君邑地中海(公寓)  | 4室2厅 | 138.08平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-62383673-5bdb-40ba-8019-d11a80f98f92.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 2室2厅 470万,470万,君邑地中海(公寓)  | 2室2厅 | 99.49平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fcd6eb83-f67a-44f9-a044-6ddb319fef95.jpg.296x216.jpg
20190504,宝山,大场镇,7号线场中路站  交通方便  业主诚意出售  正气两房,225万,乾溪新村  | 2室1厅 | 61.33平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0b79701c-778f-4f5d-9c85-0a0313e45204.jpg.296x216.jpg
20190504,宝山,大场镇,乾溪二村，看房方便，毛坯房，改动方式花样多,325万,环镇北路600弄  | 2室1厅 | 78.71平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-76e41101-b7f8-408d-9931-943d51f1cc17.jpg.296x216.jpg
20190504,宝山,大场镇,中环边  双南两房  居住舒适安逸   房东诚意出售,220万,南大路76弄  | 2室1厅 | 60.91平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bdfcd3d4-3683-4cf0-925c-dbeff0a83fc2.jpg.296x216.jpg
20190504,宝山,大场镇,乾溪新村低楼层一房，出行方便，近7号线，诚意出售,178万,乾溪新村  | 1室1厅 | 44.82平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-846992bc-b1aa-464a-a15d-5eb459ce5b9f.jpg.296x216.jpg
20190504,宝山,大场镇,乾溪二村，交通便利，房东诚意出售，来电即看,280万,环镇北路600弄  | 2室1厅 | 72.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9c7336be-8683-440d-8d6a-7ea973651f9e.jpg.296x216.jpg
20190504,宝山,大场镇,次新小区，低楼层，正气通透户型，环境优美，业主诚售,370万,上大阳光乾和园  | 2室2厅 | 88.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fe09a434-8efd-4e8b-be27-60abb481448b.jpg.296x216.jpg
20190504,宝山,大场镇,（7号线）（南北通）（一改二）（不临街）（满五）,290万,祥泰苑  | 2室1厅 | 59.94平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6786e908-31c5-4042-a217-2e110a3b17b3.png.296x216.jpg
20190504,宝山,大场镇,中环边  30万婚房精装一年   业主置换诚意出售,190万,南大路76弄  | 1室1厅 | 44.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-11e397c1-880d-4c49-9973-3de3b9ad803c.jpg.296x216.jpg
20190504,宝山,大场镇,7号线双南2房，业主诚意出售，婚房装修，,265万,环镇北路400弄  | 2室1厅 | 59.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49e62eb0-3218-4db4-8468-41293ebcc313.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 2室2厅 465万,465万,君邑地中海(公寓)  | 2室2厅 | 93.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa3c5bc0-0e7a-4aef-aa74-bdb29f7639d4.jpg.296x216.jpg
20190504,宝山,大场镇,08年商品房，小户型，精装修，看房方便,280万,上大阳光乾和园  | 1室1厅 | 59.27平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-644af475-59d6-4fe0-b9a4-2c7e0a554f1c.jpg.296x216.jpg
20190504,宝山,大场镇,南大路180弄 2室2厅 220万,220万,南大路180弄  | 2室2厅 | 58.18平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-73f92a1c-af5b-422e-b2af-3f6c9a1e8420.png.296x216.jpg
20190504,宝山,大场镇,乾溪二村，房东诚意出售，看房方便，,308万,环镇北路600弄  | 2室2厅 | 78.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5a3fd361-83d2-4ab2-b444-7f9696a937fd.jpg.296x216.jpg
20190504,宝山,大场镇,乾溪新村 1室1厅 237万,237万,乾溪新村  | 1室1厅 | 54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-56abe048-25dd-48db-93e2-8aa075ab60f7.jpg.296x216.jpg
20190504,宝山,大场镇,乾溪新村经典小一房，满五税少，看房方便，诚意出售,165万,乾溪新村  | 1室1厅 | 44.82平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3613d511-a93c-4a8f-946b-0e18dc27d510.jpg.296x216.jpg
20190504,宝山,大场镇,地铁口双南2居室，房型方正，业主诚意出售,250万,乾溪新村  | 2室1厅 | 64.28平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8a0137e5-8c03-4de6-9744-7b4dd2caa213.png.296x216.jpg
20190504,宝山,大场镇,乾溪新村 2室2厅 400万,400万,乾溪新村  | 2室2厅 | 93.04平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ac9dbcdb-7416-4139-a119-51a9155cf0b1.jpg.296x216.jpg
20190504,宝山,大场镇,7号线乾溪新村中楼层一房+地铁300米+看房方便诚意卖,202万,乾溪新村  | 1室1厅 | 50.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7f348b3b-d059-4c13-8994-b68c13966a3d.jpg.296x216.jpg
20190504,宝山,大场镇,近中环环镇北路繁华地段南北两房采光充足视野开阔,255万,环镇北路600弄  | 2室1厅 | 72.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-99891cdc-9f9a-44e2-88de-49a669286243.png.296x216.jpg
20190504,宝山,大场镇,和泰苑 2室2厅 380万,380万,和泰苑  | 2室2厅 | 90.55平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ee9f4328-bce2-46d7-8754-68fcb9f824f2.jpg.296x216.jpg
20190504,宝山,大场镇,上大阳光乾和园 2室2厅 398万,398万,上大阳光乾和园  | 2室2厅 | 83.36平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-85ff594e-d216-4fe6-be8d-fe45e9b51a81.png.296x216.jpg
20190504,宝山,大场镇,场中路地铁口  精装一室户  拎包入住  配套完善,183万,乾溪新村  | 1室1厅 | 41平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-04660eb5-eb49-4104-ae68-e2c58cd3dfa1.png.296x216.jpg
20190504,宝山,大场镇,场中路300米一室户   配套完善 地铁口  附带小院子,137万,乾溪新村  | 1室1厅 | 27.38平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cd28beb9-0bc2-46e8-a8fa-d1914a7a8496.jpg.296x216.jpg
20190504,宝山,大场镇,中间楼层，精装修，双南全明，交通方便，满五唯一,315万,环镇北路600弄  | 2室1厅 | 78.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cbf86265-cbae-456f-8674-37016d45d3eb.png.296x216.jpg
20190504,宝山,大场镇,近地铁 采光好 格局好 交通便利,178万,乾溪新村  | 1室1厅 | 45.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-61b9519d-e045-4a3c-b9fb-00bfee5d4f30.jpg.296x216.jpg
20190504,宝山,大场镇,洛场路300弄 1室1厅 205万,205万,洛场路300弄  | 1室1厅 | 51.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f617f7c8-cf22-4a3d-9b16-7258b825c697.jpg.296x216.jpg
20190504,宝山,大场镇,南大路96弄 1室1厅 165万,165万,南大路96弄  | 1室1厅 | 46.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c04778a4-696d-4506-9c19-0670e8ba8f80.png.296x216.jpg
20190504,宝山,大场镇,7号线场中路乾溪新村一房，一梯两户非顶楼，诚意出售,215万,乾溪新村  | 1室1厅 | 55.77平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d8fc1bc5-c52e-43d2-9799-3843ea24d5d1.jpg.296x216.jpg
20190504,宝山,大场镇,近中环，08年竣工，满五年，精装板式两室，业主急售！,380万,上大阳光乾和园  | 2室2厅 | 83.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161225/ad97f776-42ea-4590-913d-a0f0d73799f5.jpg.296x216.jpg
20190504,宝山,大场镇,近中环，安静小区，电梯大3房，满5年，业主诚意出售！,465万,上大阳光乾和园  | 3室2厅 | 126.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/82833646-b42a-4be7-ba59-01a8b8a20d3e.jpg.296x216.jpg
20190504,宝山,大场镇,一梯两户 非顶楼，南北两房一厅， 七号线地铁口300m,225万,乾溪新村  | 2室1厅 | 54.58平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170927/d4cca51e-4714-4687-aaaf-125fa92deb29.jpg.296x216.jpg
20190504,宝山,大场镇,正气三房户型，2房南1房北！中等楼层业主诚售,435万,和泰苑  | 3室2厅 | 113.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170610/fbc8e531-c535-420b-990b-564c09a75bf8.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 4室2厅 678万,678万,君邑地中海(公寓)  | 4室2厅 | 139.08平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/de1615c3-1335-4dc2-9038-e928ca8453f4.jpg.296x216.jpg
20190504,宝山,大场镇,同济城市阳光 2室1厅 440万,440万,同济城市阳光  | 2室1厅 | 84.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170623/523dae3a-d1a3-40c7-a602-e7a0639ca802.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海(公寓) 4室2厅 720万,720万,君邑地中海(公寓)  | 4室2厅 | 138.08平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/dab4f2fc-e231-42eb-8940-39e0406d01ad.jpg.296x216.jpg
20190504,宝山,大场镇,7号线场中路乾溪新村一楼两房，带天井实用面积大,233万,乾溪新村  | 2室1厅 | 54.5平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/2a454daa-3b4c-4690-919f-315880680d1c.jpg.296x216.jpg
20190504,宝山,大场镇,聚丰福邸 2室1厅 470万,470万,聚丰福邸  | 2室1厅 | 89.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161026/66e2dced-c0ee-4d03-a588-8609db1f685c.jpg.296x216.jpg
20190504,宝山,大场镇,骏华苑 2室2厅 315万,315万,骏华苑  | 2室2厅 | 74.31平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc5fa9e76-9f3e-42ad-b03f-7a858e6e9a4f.jpg.296x216.jpg
20190504,宝山,大场镇,上大阳光乾心园 3室2厅 450万,450万,上大阳光乾心园  | 3室2厅 | 115.31平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170722/b00d3c43-f524-4d77-8f50-b3346ccf9400.jpg.296x216.jpg
20190504,宝山,大场镇,价格实惠，交通方便，2楼无遮挡，满五唯一，业主急售,287万,环镇北路400弄  | 2室2厅 | 78.06平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160503/0403557b-8fa7-49b4-bbf8-15a5dc1c8b49.jpg.296x216.jpg
20190504,宝山,大场镇,君邑地中海主卧朝南次卧朝北精装修交通便利中高层采,476万,君邑地中海(公寓)  | 2室2厅 | 99.49平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171203/43c76ef6-94e6-42d7-ac2f-230299627c6a.jpg.296x216.jpg
