20190504,杨浦,鞍山,满五年唯一+楼层好+视野开阔+采光无遮挡+8/10双地铁,249万,铁岭大楼  | 1室1厅 | 35.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e3b8762d-2e05-4f23-a49a-535e740b4818.jpg.296x216.jpg
20190504,杨浦,鞍山,精品小户型，满五唯一，商圈繁华。,156万,许昌路1430号  | 1室0厅 | 26.37平米 | 西 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-43016183-a1a6-4e70-b49d-0ebbf8b945bd.png.296x216.jpg
20190504,杨浦,鞍山,采光不挡，全南户型，电梯房，得房率高,490万,铁岭大楼  | 2室1厅 | 71.49平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b679a6ca-c2c7-46f8-a64b-b88c7a98f1e6.png.296x216.jpg
20190504,杨浦,鞍山,目前可用+说白了都是为了孩儿啊！！！欢迎咨询！！,375万,密云小区  | 1室1厅 | 31.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4354fe55-9f1a-4536-a4fd-641df0f4f2a1.jpg.296x216.jpg
20190504,杨浦,鞍山,此房满五唯一，售后公房，全明户型，采光不挡,540万,公安公寓  | 2室1厅 | 72.84平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3e32075b-dcc3-4a91-8a86-f822e414f154.jpg.296x216.jpg
20190504,杨浦,鞍山,视野开阔，直视同济校园，双轨交通，两房两厅居住适宜,700万,密云小区  | 2室2厅 | 85.5平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-be3faaa8-4f77-4e09-a817-49476417145b.png.296x216.jpg
20190504,杨浦,鞍山,复式两房，5附6、7层，精装修，近地铁，配套齐全.,705万,鞍山三村  | 2室2厅 | 99.88平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d282849c-7f8b-41ed-a8ef-6390f88e3979.jpg.296x216.jpg
20190504,杨浦,鞍山,95年建设的博导楼，罕见稀有，全南采光视野房主自荐,530万,同济新村  | 2室1厅 | 56.7平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5d7ee437-448b-4143-876c-038d20cad8be.jpg.296x216.jpg
20190504,杨浦,鞍山,古典同楼，绿树成荫，花木欣荣， 生活便利，设施齐全,520万,同济新村  | 2室1厅 | 80.93平米 | 东 西 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cf7fef7e-662a-4aa8-b75f-2fd0203c7b10.jpg.296x216.jpg
20190504,杨浦,鞍山,满五唯一税少，阳光全天，拎包入住，看房预约维护人。,1250万,海上海新城(公寓)  | 3室2厅 | 147.32平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-11ea0af4-4a6a-47f5-8838-ca328c27d5fe.png.296x216.jpg
20190504,杨浦,鞍山,内环内一楼带花园，东山墙 全明户型,445万,打虎山路1弄  | 2室1厅 | 73.9平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-afd979a3-11a4-4c25-8633-f74bb8134168.jpg.296x216.jpg
