20190504,徐汇,上海南站,金牛苑 3室2厅 580万,580万,金牛苑  | 3室2厅 | 103.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2f091e81-5121-470e-8960-08372a92a4cb.jpg.296x216.jpg
20190504,徐汇,上海南站,华东花苑 2室1厅 415万,415万,华东花苑  | 2室1厅 | 78.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8325b9f4-0fa3-49e4-a90f-66cfb5f0097b.png.296x216.jpg
20190504,徐汇,上海南站,售后公房，双南两房，位置安静，采光充足房主自荐,570万,光华园  | 2室1厅 | 75.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-011116da-37e0-4206-b062-1a68d052f7f8.png.296x216.jpg
20190504,徐汇,上海南站,东荡小区，采光好，单价低，看房随时 房东自住 急售,450万,东荡小区  | 3室1厅 | 86.87平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-01db8792-2e4f-4196-a7f7-26bf845090a7.jpg.296x216.jpg
20190504,徐汇,上海南站,三房朝南中间楼层，通风效果好，户型方正、得房率高,830万,光华园  | 3室2厅 | 125.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9e2872d4-a83a-42c8-bc3b-3bf160b66550.png.296x216.jpg
20190504,徐汇,上海南站,视野宽阔，采光充足，精装修拎入住,495万,体育花苑  | 3室1厅 | 77.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0146c6a2-41fa-4a74-b58b-9f58ef3c94a6.jpg.296x216.jpg
20190504,徐汇,上海南站,东荡小区，位置好，总价低，业主诚心出售,450万,东荡小区  | 3室1厅 | 88.45平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf93291d-0d6e-45d3-abd9-68990e4e3b08.jpg.296x216.jpg
20190504,徐汇,上海南站,近上海南站，两房朝南，采光无碍，看房方便，价格可谈,620万,麦克花园(公寓)  | 2室1厅 | 102.66平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-32a4e116-1cd5-4560-b696-96a3e0de26d8.jpg.296x216.jpg
20190504,徐汇,上海南站,汇成一村出行方便+居家装修+干净整洁南北大两房房主自荐,289万,汇成一村  | 2室1厅 | 63.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c8c414eb-d1e4-4611-8571-77459eede85e.jpg.296x216.jpg
20190504,徐汇,上海南站,精装修视野开阔，朝南一房采光好房主自荐,235万,汇成四村  | 1室1厅 | 41.1平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8a0965ec-4f1f-4282-a06a-691dac9b9d41.jpg.296x216.jpg
20190504,徐汇,上海南站,近上海南站 一楼带天井  诚意出售,380万,金牛苑  | 2室1厅 | 69.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c18da045-04aa-4118-877e-c46a1e2817fc.jpg.296x216.jpg
20190504,徐汇,上海南站,看房方便 采光好！一室一厅，中等装修，欢迎咨询,205万,汇成一村  | 1室1厅 | 39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ab29aee1-958d-4faf-b704-15315f57b55c.jpg.296x216.jpg
20190504,徐汇,上海南站,次房满二年不唯一，个税1%。无增值税 采光充足。,199万,汇成四村  | 1室1厅 | 33.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c9131763-6d99-45c6-8e90-769fd818b369.jpg.296x216.jpg
20190504,徐汇,上海南站,楼园双南两房，售后唯一精装修，采光很好，出行方便新上,388万,楼园小区  | 2室1厅 | 70.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b4a33975-2972-434f-8196-d8188161f9b1.jpg.296x216.jpg
20190504,徐汇,上海南站,汇成三村 2室1厅 285万,285万,汇成三村  | 2室1厅 | 49.2平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1826c0f6-4b36-4dc3-bd40-0204f24cba87.jpg.296x216.jpg
20190504,徐汇,上海南站,光华园在售三房，五楼，售后公房 小区中间位置房主自荐,698万,光华园  | 3室1厅 | 86.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a975cda0-4c42-41cf-b7d3-0cd7b3569d54.jpg.296x216.jpg
20190504,徐汇,上海南站,汇成四村两房一厅，居家装修，生活设施齐全，采光好,290万,汇成四村  | 2室1厅 | 53.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-52225ebf-ba80-401f-aad0-39a2dbe728c1.jpg.296x216.jpg
20190504,徐汇,上海南站,东荡小区 1室1厅 225万,225万,东荡小区  | 1室1厅 | 42.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-571c01fc-ddc8-471d-9bc1-8b1b23cd6830.jpg.296x216.jpg
20190504,徐汇,上海南站,新金牛苑诚意出售 南北通 全明 精装拎包入住,485万,金牛苑  | 2室2厅 | 82.39平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-743ab2e2-2bef-4ede-beac-6c393e58d323.jpg.296x216.jpg
20190504,徐汇,上海南站,楼园三房 小区第三排位置  全明户型 采光好 视野开阔,400万,楼园小区  | 3室1厅 | 79.12平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-281244a1-365e-4bdb-adfa-cc3705ccf0c9.png.296x216.jpg
20190504,徐汇,上海南站,南北通透大三房，楼层好，采光充足，位置安静房主自荐,705万,光华园  | 3室1厅 | 86.71平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3de3a407-7ba7-44a4-9386-98b9f6f3f421.jpg.296x216.jpg
20190504,徐汇,上海南站,楼园小区 2室1厅 368万房主自荐,368万,楼园小区  | 2室1厅 | 61.41平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2fb9f116-7ff2-4a8b-a69b-32179dfaef39.jpg.296x216.jpg
20190504,徐汇,上海南站,光华园 3室1厅 675万,675万,光华园  | 3室1厅 | 82.77平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2915b0b8-7573-4c37-abf6-69f12dd5d60d.jpg.296x216.jpg
20190504,徐汇,上海南站,诚意出售，总价低，采光通风好，小区环境优美房主自荐,325万,楼园小区  | 2室1厅 | 60.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2792723b-9ce2-4638-9e19-58dea688927e.jpg.296x216.jpg
20190504,徐汇,上海南站,小区中间位置+近地铁交通便利+户型正气+满五年唯一,738万,正南花苑  | 3室2厅 | 122.1平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9acb2563-7f73-4cf7-8e75-833ebeb45647.png.296x216.jpg
20190504,徐汇,上海南站,康佳苑 2室2厅 500万,500万,康佳苑  | 2室2厅 | 73.3平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6b4c485e-3042-4fc5-b0db-344f636ba28e.png.296x216.jpg
20190504,徐汇,上海南站,汇成四村商品房 正规三房，一体两户,495万,汇成四村  | 3室2厅 | 93.2平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c1df8cbd-d8c7-4fe7-af69-7106923187f0.jpg.296x216.jpg
