20190504,闵行,古美,次新小区 12号地铁站虹梅路站 买入价格高税费少房主自荐,360万,同济融创玫瑰公馆  | 1室1厅 | 64.07平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-db0faac8-4d5b-4def-a897-09d7c8729378.png.296x216.jpg
20190504,闵行,古美,老业主委托，配套完善，前无遮挡，视野开阔，诚意出售房主自荐,730万,万源城尚郡  | 3室2厅 | 87.79平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-66e18dfa-2718-41c8-9430-81226c32cf1e.jpg.296x216.jpg
20190504,闵行,古美,徐汇户口，房型正气，两房朝南，单价低，厨卫朝北,270万,古美小区  | 2室1厅 | 59.82平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-60ece364-3f89-4e36-af3f-ca69d3d13afa.png.296x216.jpg
20190504,闵行,古美,近十二号线  漕河泾  进装修  随时看房  拎包入住房主自荐,407万,华梅花苑  | 2室1厅 | 75.38平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-26614730-ab65-4c5f-a43a-2b741c568c73.jpg.296x216.jpg
20190504,闵行,古美,莲花路地铁站好地段旁沿河景观双南两房诚心出售。,350万,南方新村  | 2室1厅 | 69.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e4b4e35f-696d-4b09-b7f9-cd523904eebb.png.296x216.jpg
20190504,闵行,古美,满五唯一 楼层佳 飞机户型 得房率高 配套齐全新上,720万,新梅公寓  | 3室2厅 | 131.4平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-56b8e0fa-2567-4b09-8097-d91ca6b3d458.png.296x216.jpg
20190504,闵行,古美,高区两房 含产权车位 诚意出售 看房方便新上,620万,万源城尚郡  | 2室2厅 | 72.34平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e78b2471-3aa1-4e83-adae-9ad9d234f725.jpg.296x216.jpg
20190504,闵行,古美,高区阳光 视野无遮挡 开放商保留房源 诚意出售房主自荐,779万,万源城尚郡  | 3室2厅 | 88.92平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-80b61ac4-1c80-4273-a7b7-8726b6fde7a1.jpg.296x216.jpg
20190504,闵行,古美,地铁12号线上盖 一梯两户 满五唯一 高区景观 全明户型,820万,中友嘉园  | 3室2厅 | 119.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ba0087ec-88fe-41e5-bb14-060aadc41898.png.296x216.jpg
20190504,闵行,古美,高区景观房+俯瞰整个小区景观+满五唯一+带车位,1480万,金汇豪庭  | 4室2厅 | 217平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-de07ab97-a35b-4259-ba86-cf300bfc826a.png.296x216.jpg
