20190504,杨浦,黄兴公园,佳木斯路120号,56627元/m2,2套在售二手房
20190504,杨浦,黄兴公园,佳木斯路270号,30313元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路191弄,57644元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路220号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路269号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路291号,56974元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路275号,54182元/m2,0套在售二手房
20190504,杨浦,黄兴公园,营口路600弄04号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路222号,56439元/m2,0套在售二手房
20190504,杨浦,黄兴公园,白玉兰环保广场,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路192号,60817元/m2,0套在售二手房
20190504,杨浦,黄兴公园,国顺东路22号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路122号,53210元/m2,0套在售二手房
20190504,杨浦,黄兴公园,双阳北路288弄103号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,营口路852,86,864号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,营口路600弄2号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,延吉中路80弄,暂无,0套在售二手房
20190504,杨浦,黄兴公园,松花江路930号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路224号,47795元/m2,0套在售二手房
20190504,杨浦,黄兴公园,松花江路928号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路190号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路118号,暂无,1套在售二手房
20190504,杨浦,黄兴公园,佳木斯路271号,暂无,1套在售二手房
20190504,杨浦,黄兴公园,海上硕和城SOHO商务中心,暂无,0套在售二手房
20190504,杨浦,黄兴公园,安波路366号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,国定东路273弄3号,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路124号,33999元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路102号,28896元/m2,0套在售二手房
20190504,杨浦,黄兴公园,关山路54号,暂无,0套在售二手房
