20190504,徐汇,长桥,多层一楼双南两房  带天井  实用面积大,285万,低楼层(共7层)                                                    | 1990年建 |                                 2室1厅 | 53.52平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ec9ee728-0f8f-46ca-9273-f73fde1c873d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,一梯二户，双南精装修，满五唯一!采光好！,300万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 64平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1c7d9e8a-f8da-48da-bf32-a8b328a1968b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,徐汇新城+多层+精装修+固定车位+视野开阔+可看黄浦江,570万,高楼层(共6层)                                                    | 2005年建 |                                 2室2厅 | 85.41平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-320536c3-d87d-47ed-b606-645098912d0f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,南北两房，房东诚意出售 ，总价低，户型可改,235万,高楼层(共6层)                                                    | 1985年建 |                                 2室1厅 | 51.37平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170307/fb2c2205-1f19-450e-9180-cadc5ad91fec.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,全明两房加一个小书房，总价低，钥匙房随时看,230万,高楼层(共6层)                                                    | 1984年建 |                                 2室0厅 | 49.74平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-9f5c784f-d91d-4f7d-b943-f051017dfc88.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,徐汇新城 高品质5+1户型，保养好.业主诚意十足。,1050万,高楼层(共7层)                                                    | 2005年建 |                                 5室2厅 | 199.05平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20150921/e8f0bcaa-70ed-4ce3-93fb-4a96195489a6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,16年婚房装修。前后无遮挡。靠花园位置。满五唯一!,375万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 71.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ec98458d-7073-4b3b-b78d-b9f9f92fcee7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥新村+一梯三户+楼层2楼+L型转角阳台+业主诚意出售,305万,中楼层(共5层)                                                    | 1983年建 |                                 2室2厅 | 64.47平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20170515/949f0d31-1c51-453d-aa7b-81a751583049.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,一梯两户有电梯 板式三房两卫 景观位置 看房随时,820万,中楼层(共11层)                                                    | 2006年建 |                                 3室2厅 | 117.67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-061594a4-d708-477d-8dab-75770c966dc8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥四村南北2年.满二年.刚装修3年左右房东诚心出售,268万,高楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 51.42平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-322f2546-acec-4b3e-9759-554a90f380b7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,此房满五年，双南户型，总价较低，房间采光好,270万,高楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 58平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-24e0cc11-66c9-46e2-97d5-61a626980f87.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥二村+三居室+两南一北+精装修+可拎包入住+采光好,305万,中楼层(共5层)                                                    | 1984年建 |                                 3室1厅 | 63.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-807bd6a3-9315-41a0-ac83-afd39906b850.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,徐汇新城精装三房得房率高，中间楼层，采光好。,820万,中楼层(共6层)                                                    | 2005年建 |                                 3室2厅 | 132.39平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-ba72776c-77e7-4b5a-8f81-9c5f9e6280df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥八村+双南户型+采光视野好+满五年唯一,285万,高楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 59.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-50711e1a-f39e-4d9c-b48b-15b6af5caa10.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥四村南北两室户，小区当中位置,245万,高楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 51.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ea7f4d2c-5077-43a7-9792-84e79616c942.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,书香逸居 看房方便 电梯房 采光好 业主诚心出售,740万,高楼层(共18层)                                                    | 2007年建 |                                 2室2厅 | 96.16平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b5ef2589-06f0-4b1a-8f48-426a78669274.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,四村大两房  采光好 位置佳  得房率高,368万,中楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 66.75平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-78830292-ce25-4ce4-8d4b-d9a2c031b37a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥三村+一居室+小户型+业主诚意出售+采光好！,170万,高楼层(共6层)                                                    | 1985年建 |                                 1室1厅 | 38.65平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f9d2018a-7194-4759-a248-31cbf76f917d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,好房推荐！双南户型 边套全明 位置不靠马路,300万,高楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 57.97平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8c95f893-fba1-4aeb-8dfc-bd581e223114.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,业主诚心出售，价格可谈，看房提前预约，全力助攻,800万,高楼层(共6层)                                                    | 2005年建 |                                 3室2厅 | 125.28平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b7e11525-8ac9-47ac-a8a3-a09e499cff25.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,通明三房，视野采光好，价格优势，诚意出售。,550万,高楼层(共6层)                                                    | 1990年建 |                                 3室1厅 | 69.38平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-6d705b5a-06c9-442e-9eff-dbf7e5b1862f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥五村电梯房，装修好，采光棒，有名、额,530万,高楼层(共24层)                                                    | 1990年建 |                                 2室1厅 | 77.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6d089f3b-4304-44d4-9b17-e0b5909628f3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,南北两房，西边套，精装修，楼层佳，满五唯一,256万,中楼层(共5层)                                                    | 1984年建 |                                 2室1厅 | 50.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-eae571c5-8a35-4e3e-8c48-100d6a07c1e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥一村 2室0厅 东南,390万,低楼层(共6层)                                                    | 1988年建 |                                 2室0厅 | 50.23平米                                  | 东南,https://ke-image.ljcdn.com/shfdfs-image/20161224/f22e0bc6-452d-4161-8e00-2de062513d35.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥五村 电梯房中区 双南两房 看房有钥匙 诚售！,468万,中楼层(共24层)                                                    | 1990年建 |                                 2室1厅 | 68.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4e6f2424-10ce-4a1e-a03f-c40d970a0d22.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥六村，满五年唯一，采光充足.看房方便.诚心出售,235万,高楼层(共6层)                                                    | 1997年建 |                                 1室1厅 | 52.31平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-3dc1f274-ebd9-487a-9701-1a5ebf163c27.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,2007年次新房  电梯中区 精装2年 全屋新风系统 诚售！,838万,中楼层(共13层)                                                    | 2007年建 |                                 2室2厅 | 100.51平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-fc8cc6f5-7e9d-4339-b41f-7a16af3c39b9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥四村 1室1厅 东南,180万,中楼层(共6层)                                                    | 1990年建 |                                 1室1厅 | 41.14平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-02c565f9-0492-494f-8be4-d8796d55e741.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥四村电梯2房.有钥匙看房方便.采光好,338万,高楼层(共16层)                                                    | 1993年建 |                                 2室1厅 | 69.24平米                                  | 东,https://ke-image.ljcdn.com/310000-inspection/test-56157db3-46de-420d-b78c-6d0123219e52.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,3+1大四房，带电梯，两南两北，精致装修！,870万,低楼层(共11层)                                                    | 2008年建 |                                 4室2厅 | 138平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-6c03f2a4-485c-4cb5-b9eb-511240a933b0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
