20190504,徐汇,康健,精装修两房，价格美丽，小区位置好，房东诚意出售,290万,低楼层(共6层)                                                    | 1986年建 |                                 2室1厅 | 49.51平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-772b6b89-ecfd-46f9-8c81-b7215c043915.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,房东诚意出售  小区环境优美 交通便利,287万,高楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 53.97平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-668e1859-5a65-42cc-b840-c37f52c377f3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,紫薇园：紫薇园幼儿园，康外，看房随时，售后公房,550万,高楼层(共18层)                                                    | 1994年建 |                                 2室2厅 | 85.36平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-352074ab-d1e5-4ad2-8bab-0636cae1f579.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,售后公房、双南户型、房型正气、配套成熟、近锦江乐园,315万,高楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 57.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d0b750bf-6d75-49d1-83de-7635611dfca1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,徐汇公寓 690万2房 中间楼层 采光没遮,690万,低楼层(共16层)                                                    | 2004年建 |                                 2室2厅 | 95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b2bddfeb-aefe-4768-b0d2-c92318eb3dca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,满五唯一 中间位置 出门家乐福 近上海南站地铁,245万,高楼层(共6层)                                                    | 1991年建 |                                 1室1厅 | 41.87平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b488289b-547a-4b39-993e-edb7fc76e4b0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,A＋房源，中间楼层近地铁，样板小区，采光无解,243万,高楼层(共4层)                                                    | 1992年建 |                                 1室0厅 | 38.64平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ba826566-c6c4-4bf2-9dfb-a7cd6f4d5032.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,小区新上小三房，南北，看房方便，业主诚售，带车位,1220万,中楼层(共15层)                                                    | 2007年建 |                                 3室2厅 | 114.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f972322e-48d9-463a-81cc-299f04c624fc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,总价两房，价格美丽，钥匙房，看房随时，交通便利新上,265万,低楼层(共6层)                                                    | 1986年建 |                                 2室0厅 | 49.51平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-db8ef759-4146-4423-aeca-51ec999adae7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,用心选房：精装修三房、带19.8平的花园，前边无遮挡,440万,低楼层(共6层)                                                    | 1993年建 |                                 3室1厅 | 73.94平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170211/6d6d9ebe-2d94-49df-9a3e-8fdc37cfb8b3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,满五年唯一，全明户型，每个功能间均有窗，无遮挡新上,368万,低楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 56.75平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e1288f99-2491-428f-aa5d-e5c948227127.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,1、3号线上海南站，距离500米。再次降价，只为出售。,249万,高楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 45平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f0942be5-fd7f-4cc3-abca-0f246c46c920.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,1999年小区 房型方正 近地铁12号线,586万,中楼层(共7层)                                                    | 1999年建 |                                 3室1厅 | 98.64平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170402/e66cec94-ea30-4675-b0db-d081a7f10236.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,楼层好 面积大 单价低 近地铁 配套齐全 随时看 诚意卖,798万,高楼层(共24层)                                                    | 1996年建 |                                 3室2厅 | 154.84平米                                  | 西南 北,https://ke-image.ljcdn.com/310000-inspection/prod-1f695257-7b96-47da-b245-d2db75de5173.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,用心伴您选房 一房可改两房 和上师大做邻居,320万,低楼层(共18层)                                                    | 1994年建 |                                 1室1厅 | 58.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ba5873c8-e0b6-41dd-9537-5c3f203006d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,中环内，独栋别墅，小区位置安静，经得起挑剔的眼光！,1800万,低楼层(共2层)                                                    | 1993年建 |                                 5室2厅 | 217.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/c2dda803-ce25-44d4-96d7-3106e01cfc3a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,徐汇高区电梯大两房一厅、全明满五年唯一，看房有钥匙,410万,高楼层(共28层)                                                    | 1996年建 |                                 2室1厅 | 78.3平米,https://ke-image.ljcdn.com/310000-inspection/prod-1b24a06d-a44d-4a4a-bbd4-6559a1ac09e6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,04年次新电梯房，改善地铁日月光,710万,高楼层(共18层)                                                    | 2004年建 |                                 2室2厅 | 95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-2380a005-6216-4033-aec9-a3d9a15c6a52.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,一梯两户 南北两房 客厅朝南有窗 满五年唯一无个税,350万,高楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 61.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8e5e03f3-4b6e-45dd-9142-d0b4bd8e966a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,两房朝南精装修，近求知，业主诚意出售，价格可谈,378万,高楼层(共6层)                                                    | 1986年建 |                                 2室1厅 | 54.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d2c4a6c8-c460-47f7-896f-43672ed11294.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,近1号线锦江乐园站、小区环境优雅 二房,345万,高楼层(共6层)                                                    | 1988年建 |                                 2室1厅 | 68.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b07273b7-8f1f-48da-aa0e-034fd922fb8e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,此房满二年不唯一，视野宽阔，配套成熟，交通便利,330万,中楼层(共6层)                                                    | 1990年建 |                                 1室1厅 | 42.35平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-82a7070e-7648-40cd-825c-b983c91bf783.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,精装大两房，满五唯一，附带院子，看房方便！,510万,低楼层(共18层)                                                    | 1993年建 |                                 2室1厅 | 96.22平米                                  | 南 东北,https://ke-image.ljcdn.com/310000-inspection/prod-20cb1f22-7b86-46a5-b20a-91beb6f129da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,单价低，双南两房，楼层好，位置安静，满五唯一税少,385万,低楼层(共6层)                                                    | 1987年建 |                                 2室1厅 | 57.59平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-95880fba-5426-4376-bcff-07dda0052623.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,紫薇园小三房，位置佳，交通便利，环境好，价格可谈,580万,低楼层(共18层)                                                    | 1994年建 |                                 3室1厅 | 97.5平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/d3d2b4ae-c45d-40b2-9d2d-70d6eeb2b40c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,精装修双南两房，楼层佳 满五年，业主诚意,360万,低楼层(共6层)                                                    | 1984年建 |                                 2室1厅 | 48.12平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d58df347-2b2c-49f1-8c32-fc094498745f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,总价低，精装修，房东诚意出售，价格可谈，看房方便,198万,高楼层(共6层)                                                    | 1993年建 |                                 1室0厅 | 33.92平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a5492d4d-4157-490a-a632-2f1ccfa261df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,南北精装两房，全明户型，位置好，闹中取静，诚意出售,315万,低楼层(共6层)                                                    | 1986年建 |                                 2室1厅 | 54.98平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-0285921e-43dd-4719-a49d-09287beb5a3d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,好楼层，精装修，带地暖，满五年唯一，交通便利,355万,低楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 57.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-62199e5f-dfb5-4471-a038-f2b49aef5307.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,中环内少有独栋别墅 业主回国 处理房产,2900万,低楼层(共2层)                                                    | 1998年建 |                                 5室2厅 | 279.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/ffe354bd-3970-4df7-86a0-f3652848beb0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,梓树园新出小白楼  居家装修精美  全南户型,875万,低楼层(共9层)                                                    | 1996年建 |                                 3室2厅 | 125平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-454fd1cd-fb1f-47ca-8473-66194b2336ae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,康沁苑南北两房，中间楼层光线好，位置安静不临街,715万,中楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 83.07平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e3d9c1c7-c00a-483d-8891-a209347a4547.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,精装修，合理布局，采光好，房龄新，电梯房,570万,低楼层(共30层)                                                    | 2005年建 |                                 2室1厅 | 81.81平米                                  | 东,https://ke-image.ljcdn.com/310000-inspection/prod-6ec80a37-7451-4356-b868-332dc0221eec.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,户型方正 售后公房 免增值税 购房成本低,555万,高楼层(共6层)                                                    | 1994年建 |                                 3室1厅 | 94.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-465da407-424f-40cf-9316-304360eac074.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,1.3号线上海南站，距离500米，业主委托钥匙随时看房！,668万,高楼层(共6层)                                                    | 1998年建 |                                 4室2厅 | 146.42平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-365a1367-dc30-4fc9-8b22-d9654c47f757.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,近1/12号漕宝路地铁站/配套成熟/学习氛围良好,605万,低楼层(共30层)                                                    | 2001年建 |                                 3室1厅 | 158.49平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/test-6fea4f2b-3a37-44e9-8fb7-9fa1028f8e47.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,康乐169弄一楼双南双天井2房，小区环境优美交通便利！新上,398万,低楼层(共5层)                                                    | 1992年建 |                                 2室1厅 | 57.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f068ea2a-2cbe-4337-b6be-bf1c09d53aa6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,2005年的电梯房，房型正气，采光充足，交通便利,380万,高楼层(共30层)                                                    | 2005年建 |                                 1室1厅 | 61.97平米                                  | 东,https://ke-image.ljcdn.com/310000-inspection/test-c854ec24-7d11-49b5-96c2-c2669ee094da.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,紫荆园顶复 单价6.1万南北通阳台空中别墅大宅之选,1150万,高楼层(共6层)                                                    | 1999年建 |                                 4室2厅 | 187.84平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fecbaf69-7f94-43ba-91b8-edee8895f009.png!m_fill,w_280,h_210,f_jpg?from=ke.com
