20190504,宝山,高境,1梯2户，正气双南户型，售后公房税费少，价格美丽,315万,高楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 73.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c17e4cd1-3e58-4fc8-a7f2-e0e354a8420f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,一梯三户 厅房同宽 诚意出售 看房随时,185万,中楼层(共7层)                                                    | 1995年建 |                                 1室1厅 | 42.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-56593dd6-50e0-4d91-817c-9e8d354b082d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,满五唯一，没有个税，拎包入住，采光无遮挡,随时看房,430万,低楼层(共13层)                                                    | 2013年建 |                                 2室2厅 | 81.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-87c5d65b-c211-464d-8bd9-5103b96b57dc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,近地铁、随时看房、双南户型、采光充足、视野开阔,239万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 57.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e24ef039-478c-4630-a979-b7e05cf5bff4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,一手动迁 免增值税 毛坯装修 一梯两户 业主诚意出售,430万,中楼层(共14层)                                                    | 2009年建 |                                 2室2厅 | 82.43平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/25da0d10-75f2-4785-81b4-f632d3fc3a5d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,此房免除税费23万，一梯两户,小区中 心，采光无遮挡！,412万,低楼层(共14层)                                                    | 2009年建 |                                 2室1厅 | 81.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f003dd41-d6d1-4bff-ba54-7cc460b751f4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,1梯2户，正气双南户型，售后公房税费少，价格美丽,315万,高楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 73.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c17e4cd1-3e58-4fc8-a7f2-e0e354a8420f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,一梯三户 厅房同宽 诚意出售 看房随时,185万,中楼层(共7层)                                                    | 1995年建 |                                 1室1厅 | 42.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-56593dd6-50e0-4d91-817c-9e8d354b082d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,满五唯一，没有个税，拎包入住，采光无遮挡,随时看房,430万,低楼层(共13层)                                                    | 2013年建 |                                 2室2厅 | 81.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-87c5d65b-c211-464d-8bd9-5103b96b57dc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,满五年唯一，总价低的两房，生活配套成熟，交通便利。,240万,中楼层(共7层)                                                    | 1995年建 |                                 2室1厅 | 54.3平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2f63ced3-2f19-4a0d-b049-7b64adb9b5b1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,美岸栖庭(公寓) 3室2厅 南 北,720万,低楼层(共11层)                                                    | 2005年建 |                                 3室2厅 | 133.49平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-227100b0-cede-49a4-8393-30b36ea29b0e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,恒盛豪庭 2室1厅 南,508万,低楼层(共21层)                                                2室1厅 | 91.71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-924e5469-3aef-48eb-88d2-55b1321582dc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,品质小区，一梯两户，环境好，南北通房型，满五唯一,445万,低楼层(共14层)                                                    | 2009年建 |                                 2室2厅 | 90.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3ae8efb3-0048-4dea-9d87-f1d8d91fabbd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,本房源满五唯一税费少 本小区优质好房  欢迎看房,290万,低楼层(共6层)                                                    | 1988年建 |                                 2室1厅 | 63.16平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e974e9be-f3fd-478c-b69d-4457c1989de9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,中等楼层.结婚装修.房东置换诚心出售.满五年！,215万,中楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-efbb9d25-fe37-42da-a991-76161b1454c8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,满二唯一  诚意出售  看房方便 居家装修,373万,低楼层(共18层)                                                    | 2013年建 |                                 1室2厅 | 71.11平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170716/7bbe28d6-a664-401b-aa98-e60cf5dc7e14.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,房东诚心出售.钥匙房.满五唯一.采光好无遮挡！,190万,高楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 50.19平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20180108/e0306740-a3ae-4149-9ede-14b118ba77ae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,高境一村电梯三房 房型好 采光无遮挡 出行方便,650万,低楼层(共20层)                                                    | 2001年建 |                                 3室2厅 | 183.6平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1afd9e88-a24b-457d-a44c-337463d851b7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,边套全明精装修 楼层佳采光好 业主诚心出售,280万,中楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 58.15平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-dc1d527c-b363-469c-97cd-361cc75e42f0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,高区南北通三房、诚意出售、婚房装修、拎包入住,830万,高楼层(共24层)                                                    | 2014年建 |                                 3室2厅 | 129.76平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b69178bf-43fa-453f-bbf6-e9e8736baa11.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,婚房装修，很诚心，价格可谈，全明户型，看房方便。,360万,低楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 73.76平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a0fbcd60-1e5c-45ba-99ab-dc199b2f184a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,上下楼方便 一梯两户两室一厅 居家装修 采光视野开阔,260万,低楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 55.02平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d0c86afb-31bb-4140-8849-e44093d06eeb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,位置好 带天井实用面积大  边套带窗全明户型,230万,低楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 43.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-415abab7-c7e4-48fb-aeb1-4238cfee953b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,三花现代城金兰苑全南一房+单价低+看房方便,350万,低楼层(共24层)                                                    | 2013年建 |                                 1室1厅 | 61.07平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-8c020dce-0dc0-4c65-91bb-b998f5929888.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,厨卫朝北 大一房  视野采光好 满五唯一,195万,高楼层(共6层)                                                    | 1994年建 |                                 1室2厅 | 49.48平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-303ab477-9ec2-42d4-9d3a-be5cadf773f2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,少有的双南户型，户型方正，前排无遮挡，采光通风好,288万,高楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 66.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6b28147c-09fb-4e80-83ba-37e461203e02.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,三花通透两房 中楼层 位置佳 配套齐全,540万,中楼层(共14层)                                                    | 2010年建 |                                 2室2厅 | 88.54平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-7d4e06cf-8cc3-4924-9c6a-795ab78ea269.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,美岸栖庭(公寓) 2室2厅 南,508万,高楼层(共6层)                                                    | 2005年建 |                                 2室2厅 | 91.62平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-34d9385f-bdce-419f-835e-811a01951889.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,正气一房 婚房装修 满五唯一 拎包入住 位置方便,310万,高楼层(共6层)                                                    | 2009年建 |                                 1室2厅 | 57.27平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ebb5fed2-fcb4-47b5-b7a7-9a2f3b88368a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,产权清晰，无户口，小区前排位置，采光充足,310万,高楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 69.94平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f9f0b54e-3b72-4ab6-ba63-ccf4849e6555.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,满五唯一  精装修  采光足 商圈配套齐全 交通便利,240万,高楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 52.96平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170601/70796b66-1021-44d5-958a-c42b73c97074.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,六楼复式带阁楼，09年商品房，采光充足，前排视野好,490万,高楼层(共6层)                                                    | 2009年建 |                                 3室2厅 | 88.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3f36781d-5f4a-4712-bdbc-1c6b142a75cf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,得房率高，房型正气，业主自住，得房高，全明户型,598万,低楼层(共6层)                                                    | 2000年建 |                                 3室2厅 | 108.55平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0ae86914-75ab-4260-bf7e-3d895b78ab92.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,交通便利， 税费少，户型方正，出入方便，产权清晰,338万,高楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 79.67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-54f08c30-f1d6-4ed3-850f-d661eba23a68.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,美岸栖庭：复式房+三条地铁+交通方便+户型方正。,665万,高楼层(共6层)                                                    | 2005年建 |                                 4室2厅 | 123.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3938c713-f3a8-4c00-9254-587e489a5263.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,户型正气前排无遮挡.交通便利,配套齐全！,220万,低楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 51.27平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-d0825128-be7e-441a-9f0d-14145f6230d4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,南北两房 中高楼层 小区中间位置,290万,中楼层(共7层)                                                    | 1995年建 |                                 2室1厅 | 64.73平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-2cdc78e7-2285-422b-a2d9-714660426301.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,厅房同宽小一居 中高楼层采光好 得房率高无浪费,179万,中楼层(共5层)                                                    | 1992年建 |                                 1室1厅 | 40.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-414d9ed8-0904-4bfb-ac7c-1ad7780ab6e2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,小区景观位置 中高区楼层 南北通透 全明户型 一梯两户,795万,中楼层(共16层)                                                    | 2006年建 |                                 3室2厅 | 135.48平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-6584811e-05bd-4603-a131-770f057ad044.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,婚房装修  ZY空调+地暖 视野好位置佳,820万,低楼层(共29层)                                                    | 2014年建 |                                 3室2厅 | 136.17平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-4e456789-bbcd-476a-9625-b2d729990b1f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,唯一精装复式，使用面积很大，税费少，无增值、个税,750万,高楼层(共6层)                                                    | 2005年建 |                                 4室2厅 | 131平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-dde94c7c-c1e9-4d60-9742-bc73973acf50.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,房子位置安静，带地下产权车位，采光比较好无遮挡。,580万,中楼层(共18层)                                                    | 2012年建 |                                 3室2厅 | 95.72平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170827/90ede33e-1d5c-4330-804f-a98becb66c3a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,精装修一楼附带地下室 单价低业主诚心出售,630万,低楼层(共11层)                                                    | 2005年建 |                                 2室2厅 | 142平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6acf4750-efef-4ea8-aa3e-edd616953b0a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,精装南北三房+全明户型+楼层佳+得房率高+满五唯一,650万,高楼层(共16层)                                                    | 2007年建 |                                 3室2厅 | 119.39平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171022/2dc2328d-3a5a-4bcf-9874-52c1107289b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,恒盛豪庭》南北通户型》视野好》两梯三户,585万,低楼层(共29层)                                                    | 2014年建 |                                 2室2厅 | 101.62平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170408/730c3707-732c-4a79-9192-fd0d71362c5c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,13年商品房，开发商精装（中-央空调+地暖）带产权车位,735万,低楼层(共13层)                                                    | 2013年建 |                                 4室2厅 | 123.44平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-13a6f927-fd1d-4c96-89af-e6bd34ff38b8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,新房从未入住，电梯舒适大两房，南北双通透，两梯三户,625万,低楼层(共26层)                                                2室2厅 | 106.33平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-2c908972-74c5-4bb5-a846-0318b84bdd80.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,户型正气房东诚心出售.现在空关.交通方便,375万,高楼层(共6层)                                                    | 1995年建 |                                 3室1厅 | 84.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0ac7b01b-fe30-4884-bf25-a9be07b3644a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,新房一天没住过，总价低，尽情发挥你的设计天赋采光好,500万,高楼层(共6层)                                                    | 2006年建 |                                 2室2厅 | 87.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f68e9c19-4136-403a-a41e-195022c4c098.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
