20190504,闵行,静安新城,静安新城九区 3室2厅 南,485万,高楼层(共7层)                                                    | 1998年建 |                                 3室2厅 | 106.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-663825f9-e655-4ce5-a27d-5f09ce1a728d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园八区 3室2厅 南,620万,中楼层(共7层)                                                    | 1994年建 |                                 3室2厅 | 103.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-0e7b7c88-6b99-43c9-bae2-46058e2a98da.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,宏明南北大两房 近地铁 满五年 业主诚意出售！,350万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 75.83平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-d7cb435e-31db-4d15-9842-52fabb6b88e2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,此房满五年，随时可看，带车位配套设齐全,665万,低楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 97.4平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170319/76133589-079c-4a44-b47c-4bfedd151280.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,本房采光好税费少，房东诚意出售,565万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 129.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/8f490327-5970-4f79-b9b7-a2ad32f41767.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,全明户型好+诚意急卖+双地铁+七宝实验+产权清晰,253万,高楼层(共7层)                                                    | 1997年建 |                                 1室1厅 | 50.18平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-72a879de-229b-41ab-b183-00eb6acfe8d9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,售后公房 全明户型 业主诚售 生活方便 交通便利,320万,高楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 66.1平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-66f15761-831c-4515-a238-6edc4afe4346.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,降降降！业主移民美国 卖三房价格  楼层好 少见大露台,660万,低楼层(共7层)                                                    | 1994年建 |                                 4室2厅 | 125.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-62c52a89-359d-4c3a-8758-ad9bc2d9dfbd.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,别墅区里的公寓      装修好   随时看房,860万,中楼层(共5层)                                                    | 1999年建 |                                 4室2厅 | 158.3平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9eeea4e6-52a7-4011-8322-560ae12d3853.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,正宗板式户型，南北通风，无任何浪费面积，业主诚意,780万,中楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 107.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-be36a3c5-826f-41f9-be61-48bf8377c8e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园十七区 3室2厅 南,865万,低楼层(共12层)                                                    | 2005年建 |                                 3室2厅 | 145.63平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a14630ae-075f-4fc0-9875-1bddc8f343d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,小区花园位置，房型正气，不是顶楼，满五年唯一,568万,高楼层(共7层)                                                    | 1994年建 |                                 3室2厅 | 103.32平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/2dfc13c6-55b4-45ed-afaf-a348d50abd72.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,房东急售 售后公房满五无个税增值税 双南户型 采光好,330万,高楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 63.31平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4b580ef7-a87f-4387-b73e-86dbb22eda54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,满五年无个税  视野开阔采光足 配套齐全交通便利,498万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 112.99平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d89305fe-7048-4cf4-aafb-1f770807920d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
