20190504,松江,松江大学城,大学城地铁站 双南房 满五年唯一  可拎包入住,323万,中楼层(共12层)                                                    | 2010年建 |                                 2室2厅 | 71.83平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8dd4fe07-acac-42a0-943e-9b70dd2c267d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,松云水苑，精装双南房，高层景观，满五，税费少,295万,高楼层(共24层)                                                    | 2005年建 |                                 2室2厅 | 102.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-6c2666fc-83f1-4232-a484-4c585df55f90.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,誉品谷水湾大平层，精装修，业主诚意出售,900万,低楼层(共17层)                                                    | 2014年建 |                                 3室2厅 | 172平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-005320a3-09ff-4e81-9501-7d5d67f3219b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,大三房总价低+户型正气+此房位置好+看房方便+诚意售,288万,低楼层(共6层)                                                    | 2011年建 |                                 3室2厅 | 113.89平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20161009/2d5a23f4-2d0c-4b7c-9479-87bb17228b45.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,精装修，拎包入住，临河景观，带地下16平储藏室,580万,低楼层(共14层)                                                    | 2009年建 |                                 3室2厅 | 137.54平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c189ca13-0c5f-45dd-9815-f0ca20189fe4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,上尚缘，正四房，诚意出售，看房方便，自住装修,600万,低楼层(共14层)                                                    | 2015年建 |                                 4室2厅 | 178平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/90c648ea-f4b1-4883-83a9-06b28e0b9dd6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,品质物业+正气大四房+满5年唯一+接受1年置换周期,850万,低楼层(共19层)                                                    | 2012年建 |                                 4室2厅 | 195平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/22e9b1ee-154d-4e08-a30c-dc124eb5a53e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,小三房位置好，高品质小区，出行便利，税费少,348万,中楼层(共11层)                                                    | 2010年建 |                                 3室2厅 | 91.41平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-96bf075c-3f16-49fe-b163-792904c642a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,中星佘山溪语大叠加别墅，220四房，全部朝南，带电梯,760万,低楼层(共1层)                                                    | 2013年建 |                                 4室2厅 | 220平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/1b36fa1b-9c1c-4c43-95e3-5fde0727dd25.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,精装小三房、不靠路、南北直通、配套齐全、随时看。,325万,中楼层(共6层)                                                    | 2009年建 |                                 3室2厅 | 89.82平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-74ab4426-f93a-4823-9d07-11acd2ea82f2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,纯别墅小区、大三房、面对工技大、带地下室和花园。,700万,低楼层(共1层)                                                    | 2013年建 |                                 3室2厅 | 190.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/8e872677-185f-4415-a1e7-71652f03d845.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,保利小户型 低总价位置安静  视野开阔 采光充足,253万,低楼层(共18层)                                                    | 2009年建 |                                 1室1厅 | 59.57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a709ee8e-cb56-4499-b44f-11eb3a690b90.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,精装小两房丨万达商圈丨诚心出售丨松江国际生态商务区,285万,低楼层(共21层)                                                    | 2014年建 |                                 2室1厅 | 73.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-64594631-78f4-4ec7-96ad-7b1522c858ff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,双南夹厅飞机户型户型好，次新房,415万,低楼层(共7层)                                                    | 2015年建 |                                 3室2厅 | 98平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-bc9f4539-cfe5-4238-86cc-02265f399cac.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,保利唯一在售楼层好位置好精装大四房,660万,中楼层(共18层)                                                    | 2009年建 |                                 4室2厅 | 140.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-5b266168-d58d-481b-8f54-11ed5b3550da.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,九龙仓兰宫 3室2厅 南,599万,低楼层(共4层)                                                    | 2014年建 |                                 3室2厅 | 124平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/722d5b96-5609-4892-ad32-c79c4bc2c2e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,满五唯一、不靠路、已做三房、两北一南、配套成熟。,290万,高楼层(共6层)                                                    | 2009年建 |                                 3室2厅 | 90.45平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-a9f4e3d7-fa6e-4f87-b0d4-cad134bb4d87.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,下叠别墅 居家精装未住 纯别墅小区 满五唯一税费少,650万,低楼层(共1层)                                                    | 2005年建 |                                 4室2厅 | 173.86平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/88f2f780-51f5-40b3-b4e6-3ca7a95acf52.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
