20190504,松江,泗泾,德悦苑经典户型两房；楼层位置好；前后无遮挡；,185万,高楼层(共18层)                                                    | 2015年建 |                                 2室1厅 | 66.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f9d98701-b6d3-4250-8daa-6524e07f9ee9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,松江紫薇茗庭两室一厅一厨一卫 没有装修,177万,低楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 67.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-acf27ab4-3c90-4fed-818d-57f0354a094c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,一手动迁  免增值税  户型方正   高层采光好  视野好,225万,中楼层(共18层)                                                    | 2014年建 |                                 3室2厅 | 84.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a86691ac-e48d-491e-b9f9-37d2335b6028.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,女主人精心设计，急售，5房朝南，花园临河，拎包入住,1850万,低楼层(共2层)                                                5室3厅 | 444.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/1648dadf-2c95-4304-8c1b-f32b657f0f49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,江川一村 普通住宅无增值税.，两房朝南，房型好,198万,高楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 68.15平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-580628f7-5a16-436f-bb24-88bc25d5f04e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,业主诚意出售；2015年新小区；电梯直达到地下车库,120万,中楼层(共20层)                                                    | 2015年建 |                                 1室1厅 | 48平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6ac153b9-8164-4fa4-b9fd-fc8a70ad589d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯五期 交通方便 随时好看 采光无遮挡 房东诚意卖,112.5万,高楼层(共18层)                                                1室0厅 | 49.7平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-f900bcc2-23a2-4ec0-bec1-d4fefa7ca95f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,业主委托链家 诚意出售 精装 位置好 看房方便,216万,低楼层(共18层)                                                    | 2012年建 |                                 2室1厅 | 71.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-836148e8-1194-423c-909c-83515eae5825.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,一手动迁，税费少，房龄新，楼层好，采光足,148万,中楼层(共18层)                                                    | 2014年建 |                                 1室1厅 | 52.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-93c93ae7-950b-4c5f-a7b5-677fbc5b8535.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,洋房大平层业主诚意出售 税费各付 方便看房,580万,低楼层(共8层)                                                4室1厅 | 134.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-41d0ae20-f354-41a8-aa44-bb31a2158866.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,润江花苑，精装修高区采光好，诚意出售；,279万,低楼层(共12层)                                                    | 2007年建 |                                 2室2厅 | 100.38平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0e758391-8be6-4209-9d24-cec48e04c83c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
