20190504,普陀,真如,14号线南北两房，采光通风效果好，出行便利,285万,高楼层(共7层)                                                    | 1988年建 |                                 2室1厅 | 60.33平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-df970afa-3a1c-4a77-a7af-4ef5eea42543.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,急售！房东看好房子，大三房急售，看房方便,710万,低楼层(共27层)                                                    | 1999年建 |                                 3室2厅 | 144.84平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/test-3e324c48-af1f-4c48-b80d-0f7db8287007.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,舒庭苑 2室1厅 南,355万,高楼层(共18层)                                                    | 1996年建 |                                 2室1厅 | 66.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-40826635-2a3b-46f5-91ff-879fba9c14ff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,舒庭苑 2室1厅 南,405万,高楼层(共18层)                                                2室1厅 | 72.17平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-68e6e51a-af4a-4ca3-8141-6dd910b2154b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,满五唯一，南北两房，西边全明格局，楼层好，交通便利,689万,中楼层(共11层)                                                    | 2004年建 |                                 2室2厅 | 102.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f47eb203-04fb-4468-a7f3-503640c4d364.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,满五唯一，精装交付，位置好，近地铁11,7号线,480万,低楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 76.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-095a62f9-b767-4cd2-956e-e25062953dc6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,房子精装修满五唯一看房方便。。,285万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 57.87平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/703720de-15e3-4c25-be62-c3bc1af927c1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,4楼，位置好，价格有空间，采光好,160万,中楼层(共5层)                                                    | 1957年建 |                                 1室1厅 | 34.45平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-d6623f86-e594-4d58-9de4-474e5121208b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,中骏天悦 3室2厅 南,1080万,低楼层(共23层)                                                    | 2018年建 |                                 3室2厅 | 98平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/325077fb-ff1e-4bf8-8caf-53f808667e49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,青枫江上秋帆远 桃浦河处好房来 真北三街坊精装两房,288万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 57.87平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/test-3363fb22-31a1-4c7d-b9b2-ee97be8c6d9b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,西站双南两房，有大露台，房东诚意出售，看房方便,320万,高楼层(共6层)                                                    | 1993年建 |                                 2室2厅 | 68.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-16f9bbcf-8147-4a83-950f-410099bb5a61.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,海棠苑 2室1厅 南,340万,高楼层(共7层)                                                    | 1997年建 |                                 2室1厅 | 72.97平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ea6bec55-67cc-4e91-9d67-adf770b65e89.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,水塘小区 1室1厅 南,172万,高楼层(共6层)                                                    | 1989年建 |                                 1室1厅 | 32.93平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6e4e2cfe-dd8e-4834-8151-d224b772f795.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,高尚领域 4室2厅 南 北,800万,高楼层(共38层)                                                    | 2015年建 |                                 4室2厅 | 163平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/bd6b7fca-e68c-4ecf-8a98-c01f34de6df6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,一梯两户 正规小三房 采光无遮挡 满五唯一税费清晰,490万,中楼层(共6层)                                                    | 1995年建 |                                 3室1厅 | 88.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-95f4d4f6-aaeb-4263-9082-640c8b278594.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,三轨相交，景观三房，18楼的14楼，业主诚意出售,750万,高楼层(共18层)                                                    | 2004年建 |                                 3室2厅 | 131.01平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20180116/bdbfad96-cf80-4e9a-ad5c-91e59851e14f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,满五唯一，精致三房，业主置换已看中房子，诚心出售！,1050万,中楼层(共36层)                                                    | 2009年建 |                                 3室2厅 | 125.42平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171117/82932fa7-c8d8-4706-a21e-9dbd9cbdfac8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,3条轨道交通，11.14.15号线，小户型，总价低，好房,290万,中楼层(共6层)                                                    | 1988年建 |                                 2室1厅 | 58.58平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-53fcac85-6768-40a0-ad87-a57380cbc7b8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,樱花苑 2室1厅 南,350万,高楼层(共6层)                                                    | 1988年建 |                                 2室1厅 | 60平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b2e506db-faa6-40be-8b0d-b0882587c32a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
