20190504,杨浦,控江路,精装修，满两年税费少，顶楼复式，业主诚心出售,235万,高楼层(共5层)                                                    | 1979年建 |                                 2室1厅 | 39.35平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/aad59db4-49e6-44d7-beb1-a6fabe97d391.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内+一门关+小户型+精装全配+诚意卖,190万,中楼层(共5层)                                                    | 1956年建 |                                 1室1厅 | 41.94平米                                  | 东北,https://ke-image.ljcdn.com/310000-inspection/prod-b3816471-98ed-4c14-a60e-1bc3eea6a624.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,急售+11年产证+朝南一门关+看房方便+楼层佳,190万,低楼层(共5层)                                                    | 2011年建 |                                 1室1厅 | 40.02平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7b007cba-8f25-4011-a2c4-c526e00d213e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,小复式，总价低，可做3房，诚意出售,350万,高楼层(共6层)                                                    | 1987年建 |                                 2室1厅 | 56.71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/e21f1d23-817e-4c7a-a885-136cece4ca85.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,05年次新房，双地铁口房子，出门就是紫荆广场,500万,低楼层(共25层)                                                    | 2005年建 |                                 1室2厅 | 60.3平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f13368d0-9fd4-435a-b09d-13cde6dd0103.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村 1室0厅 北,118万,中楼层(共5层)                                                    | 1988年建 |                                 1室0厅 | 25.53平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/ec8ebb9c-41f4-4ed3-b214-d562d77555fc.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,近地铁（精装修）（附加12平方阁楼面积）采光无挡,180万,高楼层(共6层)                                                    | 1981年建 |                                 2室0厅 | 27.82平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-622cca79-95f4-4475-a018-f51ad6ed8f60.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,商圈成熟 交通便利 采光充足 中高楼层 单价低,648万,中楼层(共6层)                                                    | 2000年建 |                                 2室2厅 | 91.45平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/91f5a5b9-96c5-45a6-88e9-0ea4df156f90.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村，楼层佳，采光足，位置好，西边套全明户型,175万,中楼层(共5层)                                                    | 1988年建 |                                 1室1厅 | 31.68平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/6e042aab-f6c3-4e53-b8ef-a1179270ef7f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,房型正气，业主诚心出售，看房一般都比较方便。,230万,低楼层(共3层)                                                    | 1986年建 |                                 2室1厅 | 44.5平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20160918/5c227061-912c-4752-aaa3-6f46f20376a4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城五村 临810号线 新华医院紫荆广场 精装两房,345万,高楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 54.12平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-332bcb9c-26b1-4db2-815c-ca3f31b16008.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,钥匙房、控江路640弄 水丰 独门独户,145万,高楼层(共6层)                                                    | 1989年建 |                                 1室0厅 | 32.07平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-07d09aad-c04b-4688-b2ae-e3d88baf2b8f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,控江一村 2室1厅 东南,495万,中楼层(共5层)                                                    | 1999年建 |                                 2室1厅 | 65.53平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-4fff84c5-e6fb-484c-8429-40cc25f590a9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,双南两房  采光及好  地段佳  内环线  总价低,305万,中楼层(共5层)                                                    | 2011年建 |                                 2室1厅 | 58.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-4a0974a3-972b-420d-80f0-145413cb9de5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,精装修 西边带窗   朝南一门关,205万,中楼层(共5层)                                                    | 1958年建 |                                 1室1厅 | 47.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-bfda5ebd-923f-42f2-981c-a5bcc3e27800.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,南北通透格局好，楼层好，视野宽阔，采光充足,270万,低楼层(共5层)                                                    | 1975年建 |                                 2室1厅 | 51.76平米,https://ke-image.ljcdn.com/310000-inspection/prod-acbf5089-50b0-483b-ac52-1cae1f9bbc91.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村+顶楼带阁楼+业主诚意出售+看房方便+全明,228万,高楼层(共6层)                                                    | 2011年建 |                                 1室1厅 | 43.16平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4530b00b-db64-41e6-a247-04e9b63d5b26.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村 2室0厅 南,190万,中楼层(共5层)                                                    | 1956年建 |                                 2室0厅 | 43.06平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20180122/a8ecbd4c-c161-4458-ac17-82297bc40051.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,精装 7楼2+1户型  单价低 空间大 有车位 有车位,720万,低楼层(共28层)                                                    | 2006年建 |                                 2室2厅 | 112.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8fdb1900-7c8d-4cb8-a167-689c65affb77.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,满五唯一，次新小区，精装修，可拎包入住，诚意出售,785万,低楼层(共11层)                                                    | 2002年建 |                                 2室2厅 | 105.51平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0ed445e3-566b-458b-a794-6d478a246727.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内97年原建房+房龄新+带天井+采光好+售后公房唯一,525万,低楼层(共7层)                                                    | 1997年建 |                                 2室2厅 | 88.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8f0a20c5-0977-4145-b868-af666fc935a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,小高层中间楼层 电梯房 两梯三户 业主诚售 满五不唯一,600万,低楼层(共17层)                                                    | 2007年建 |                                 2室2厅 | 80.71平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20161201/94946c9a-d3fc-4c3f-9dc6-be7c63252d1f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内+配套承受+97年原建+一梯两户+低总价小三房,600万,中楼层(共7层)                                                    | 1997年建 |                                 3室1厅 | 99.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7b142dc9-feaf-4c63-8348-0c2b68f9ee61.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,延吉东路557弄 1室0厅 南,135万,中楼层(共5层)                                                    | 1966年建 |                                 1室0厅 | 32.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/92dec6d8-ca93-41a7-a911-bc440e53843d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,精装修带地暖，高楼层无阻挡采光好。,980万,高楼层(共14层)                                                    | 2016年建 |                                 3室2厅 | 107平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ff6d409c-1879-4d4e-8f7b-f11525a864fc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,新凤城 2室1厅 南 北,650万,中楼层(共25层)                                                    | 2005年建 |                                 2室1厅 | 74.06平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-26641a54-37b6-49db-a7ff-b58d680c7fcc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内+朝南一门关+满5唯一少税+精装保养好,160万,高楼层(共5层)                                                    | 1988年建 |                                 1室0厅 | 34.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7814d5f7-1290-411f-9b13-b5a0c1cc8757.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,东方名园 2室2厅 南,795万,中楼层(共17层)                                                    | 2003年建 |                                 2室2厅 | 93.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6eadf06a-25be-47aa-8a20-5b13d0e6c2f0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城小面积一房  楼层好 交通方便 总价低 税费各付,120万,中楼层(共5层)                                                    | 1988年建 |                                 1室0厅 | 25.99平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/969b4c7f-7f7a-4003-bb22-476325ac03d4.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,总价低，适合老人居住，交通便捷，地铁近,140万,低楼层(共6层)                                                    | 1986年建 |                                 1室0厅 | 31.17平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/test-9c6faf14-9fda-49bd-95b1-8176c26fe68a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,售后公房 顶楼复式  采光无遮拦,290万,低楼层(共3层)                                                    | 1986年建 |                                 2室1厅 | 46.17平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fbd774d0-f9cc-4ff5-a839-3e19925cd719.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,新凤城，双轨交通，诚意出售，看房方便,450万,低楼层(共21层)                                                    | 2005年建 |                                 1室2厅 | 61.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-74ce36f4-396a-4eff-b3d8-903245e2a093.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,05年次新小区   南北卧室   厅朝南双阳台   南北通透,880万,中楼层(共17层)                                                    | 2005年建 |                                 2室2厅 | 103.21平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20171216/c3fa0844-c623-4cab-85d0-8b90dd3ba4ec.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环内，大两室一厅，厨卫厅全明户型，配套成熟,480万,高楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 76.28平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-45ce3e94-08b3-4660-a06e-65d0734b9c09.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,次新小区，电梯三房户型，满五年，诚意出售,920万,中楼层(共13层)                                                    | 2003年建 |                                 3室2厅 | 122.23平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload93a8ad4f-e607-43d2-81d4-7b85c921bfc4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,满五唯一 商圈成熟 交通便利 采光充足,285万,中楼层(共5层)                                                    | 1977年建 |                                 2室1厅 | 53.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3b1939a0-bbe2-426a-905d-be85d167877d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,低总价 满五年税少  近紫荆广场和8号线,163万,中楼层(共4层)                                                    | 1988年建 |                                 1室1厅 | 36.45平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/b0fc857d-102e-4677-a63a-59a71ae4cca0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,正气大三房，采光好，带花园，名.额没有用过。,900万,低楼层(共17层)                                                    | 2003年建 |                                 3室2厅 | 129.97平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-4402a047-f712-4736-abaa-fe6cafb531cf.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,杨浦区2011年改建新小区，低总价两房无个税，诚意出售,235万,中楼层(共5层)                                                    | 2011年建 |                                 2室0厅 | 47.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-ffe577d3-ca76-47e7-bcd9-7df63b28b0d5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,价格保真 实景拍摄 总价低 中间楼层,136.6万,中楼层(共5层)                                                    | 1987年建 |                                 1室1厅 | 30.08平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/c4afe34c-1de1-4ce1-b210-fbe0b6f65416.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,89年原建房  采光无遮挡 不靠马路 看房方便,283万,高楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4a53f27b-8918-4fc5-971a-9d5d50368f23.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,长白一村 2室0厅 南,195万,中楼层(共5层)                                                    | 1975年建 |                                 2室0厅 | 42.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ba378edd-94aa-4ffb-ab4d-7c10df907d37.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,益晖新苑 2室2厅 南,620万,低楼层(共26层)                                                    | 2010年建 |                                 2室2厅 | 89.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-80fb7373-9e8e-472d-a7e1-4e949d57ebaa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,全南户型 满五年唯一 中间楼层 诚意出售 随时看房,228万,中楼层(共5层)                                                    | 1988年建 |                                 2室1厅 | 49.13平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/afd29dc6-d220-4489-8a13-97f29262f2f2.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,适合小孩读书+商品房+99年原建+一梯两户,528万,高楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 69.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9b881020-db2a-48d5-88dd-f25f666ebae8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,楼层较高采光通风好、装修干净整洁、配套齐全,350万,高楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 67.63平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2256f87c-6141-40f4-b17e-c95da6b976c0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,配套齐全+楼层好+业主诚意出售+精装修,205万,中楼层(共5层)                                                    | 1956年建 |                                 1室1厅 | 47.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/7852484b-0939-4372-9556-8428a9962c5b.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城三村 顶楼小复式 采光好 810号线,405万,高楼层(共5层)                                                    | 1990年建 |                                 2室1厅 | 68.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-dd382c85-6f8b-457d-b911-9c3ea991b9a3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,凤城五村东边套，全明两房，满五年唯一，房东诚心出售,335万,高楼层(共6层)                                                    | 1987年建 |                                 2室1厅 | 55.89平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/test-3470a112-a685-4ca3-a53f-ef0f019ab817.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,05年次新房，双地铁交汇房子，出门就是紫荆广场,426万,低楼层(共25层)                                                    | 2005年建 |                                 1室2厅 | 54.64平米                                  | 东南 北,https://ke-image.ljcdn.com/shfdfs-image/20170813/dc9820e3-7bb8-4a14-a69a-23d997a650d3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,控江一村 2室1厅 南 北,510万,低楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 62平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-fe716b34-aa0e-4dcc-84c9-3fc93f84ede1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,复式+上下两层带阁楼+相同层高+一梯两户+阳光房采光好,1400万,高楼层(共16层)                                                    | 2003年建 |                                 6室2厅 | 172平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d08b56fc-51e5-4067-9239-60d27cc02490.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,05年次新房，双地铁口房子，出门就是紫荆广场，有钥匙,980万,高楼层(共21层)                                                    | 2005年建 |                                 3室2厅 | 130.97平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-dfcdba75-9fad-4ea2-a75e-c3b446082dc3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,没用过+顶楼复式+居家装修+户型正气+实际使用面积大,630万,高楼层(共5层)                                                    | 2001年建 |                                 2室2厅 | 104.9平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170222/86d8c8bd-d3eb-443e-ab39-1c1941357c70.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,正规三房 两房朝南一房朝北 楼层低,355万,中楼层(共5层)                                                    | 1979年建 |                                 3室1厅 | 58.84平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ad64d72e-995a-4a86-9f0a-a80ffd49ca97.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
