20190504,虹口,凉城,锦苑小区(虹口) 2室1厅 南 北新上,255万,高楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 50.4平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-c2d0a0c6-20fe-4633-b9c7-6d86a3d259fb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,少有原建复  开发商原建  居住性高 得房率高,495万,高楼层(共6层)                                                    | 1995年建 |                                 3室2厅 | 115.78平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ac6d1e75-c736-4c7c-b741-bb21a9ffe557.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,此房为东南户型+属于中高区+距离大柏树地铁站1000米,360万,低楼层(共21层)                                                    | 1995年建 |                                 2室1厅 | 74.2平米                                  | 东 南,https://ke-image.ljcdn.com/shfdfs-image/20171210/7644d833-0f62-49af-9fe5-af9c6aa19dd0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,房东诚意出售！低总价精装两房！买到不后悔！！,260万,高楼层(共7层)                                                    | 1993年建 |                                 2室1厅 | 57.05平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170816/357f1261-a212-41e1-8bdc-9a754b150bf2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,业主诚售+信任委托+产权清晰+配套完善,235万,高楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 49.37平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4cdb20f8-eac0-44db-b772-f67a617101fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,春满园 品质小区 小区环境好 楼层好出入方便,865万,中楼层(共10层)                                                    | 2001年建 |                                 3室2厅 | 139.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0bb8ed75-f798-470d-a452-aab00245a083.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,文苑小区正规复式房满五年唯一一梯两户看房方便诚售,495万,高楼层(共6层)                                                    | 1995年建 |                                 3室1厅 | 117.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5d79bbe9-e6b5-4851-961e-5986d5fc3221.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,户型方正，+前后无遮挡+配套完善+诚意出售,235万,高楼层(共7层)                                                    | 1985年建 |                                 2室0厅 | 50.8平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-f55e1250-674a-4823-8c6c-f72a1e30aeaf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,高区景观房落地窗，阳光视野无遮挡，满五唯一税费少,805万,高楼层(共18层)                                                    | 2003年建 |                                 2室1厅 | 97.69平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-24d170bc-eaf8-4885-ab19-38d560e373db.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,五房大平层，小区位置佳,品质社区,有产权车位,1160万,低楼层(共17层)                                                    | 2010年建 |                                 5室2厅 | 158.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-016e5960-38bd-40a4-9504-633ccca256f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,好楼层大两房，低总价，临3/8双轨交线 生活出行便利,340万,中楼层(共5层)                                                    | 1957年建 |                                 2室1厅 | 66.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2fcd640f-6e60-42a0-aa0a-7d1b3255313f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,3/8号线双轨交汇 南北电梯两房 一梯两户 有产权车位,790万,低楼层(共14层)                                                    | 2006年建 |                                 2室2厅 | 103平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-3872c7ff-b0fd-4b8e-a5a7-8344d649c05d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,车站南路291弄+独栋全明户型+前后无遮挡+价格有空间,360万,中楼层(共21层)                                                    | 1995年建 |                                 2室1厅 | 76.13平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5b051df1-e11d-4734-bf2b-0735a8525749.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
