20190504,徐汇,徐汇滨江,中间楼层+西边套+近黄浦江！婚房装修给您家的温度,370万,中楼层(共6层)                                                    | 1998年建 |                                 1室1厅 | 60.78平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-34733201-1641-48be-b4fd-9740d9100c24.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,小区前排 高区江景房 装修至少花费60万,800万,高楼层(共37层)                                                    | 2009年建 |                                 1室2厅 | 70平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/1acb5382-83b4-435e-885b-d1640edb8737.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,海珀旭晖酒店式公寓 2室1厅 南,780万,低楼层(共26层)                                                2室1厅 | 93平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/bde0debb-07df-4390-b4ef-363c07c61995.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,低总价2房 干净敞亮 小区环境好 绿化好 看房方便,1058万,低楼层(共31层)                                                    | 2013年建 |                                 2室2厅 | 94.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-19b78913-91cd-4935-8a55-01463c959596.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,品质新小区精品一房，好房子不容错过,295万,高楼层(共6层)                                                    | 1999年建 |                                 1室1厅 | 54.09平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5f103390-8af0-458d-b3e1-1243cf3e4715.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,满五唯一，户型方正，近滨江大道，仅委托链家出售。新上,328万,高楼层(共6层)                                                    | 1998年建 |                                 1室1厅 | 60.52平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-30250d46-fca9-4047-8928-acb06b3a3302.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,尚海湾前排看江仅有在售2房，满二税费低，全南采光,1450万,低楼层(共37层)                                                    | 2009年建 |                                 2室2厅 | 124.98平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5963c1b8-290d-4aca-8bdf-144c40f92f45.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,满五唯一+少有电梯房+一南一北采光好+产权清晰！,700万,低楼层(共18层)                                                    | 2001年建 |                                 2室2厅 | 109.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1097b995-b7c1-4760-a726-629d7d454e1c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,150平米大露台+徐汇滨江标杆+看房方便+精装修,4380万,低楼层(共19层)                                                    | 2012年建 |                                 4室2厅 | 274.02平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-27b16595-a8a1-437f-9661-38d527c12147.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,带地下室，带车位，拎包即住，随时看房！,1880万,低楼层(共26层)                                                    | 2008年建 |                                 3室2厅 | 264.25平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/0a2e1d76-44cd-4bda-9eff-c4fa6cbff0b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
